Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate,smuggling_type,desync_impact,vulnerable_component,obfuscation_method,impact_severity,technical_details
Practical HTTP Header Smuggling: Sneaking Past Reverse Proxies to Attack AWS and Beyond,https://www.intruder.io/research/practical-http-header-smuggling,Daniel Thatcher (@_danielthatcher),-,"HTTP Header Smuggling, HTTP request smuggling",0,11/10/21,9/15/22,CL.TE,Cache Poisoning/Deception,Front-End Proxy (General),Case-Sensitivity,critical,Standard CL.TE or TE.CL payload
I owe your Request | HTTP Request Smuggling leads to Full Accounts takeover,https://itsfading.github.io/posts/I-owe-your-Request-HTTP-Request-Smuggling-leads-to-Full-Accounts-takeover/,Muhammad Adel (@ItsFadinG_),-,HTTP request smuggling,0,8/30/21,9/15/22,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),Whitespace Obfuscation,critical,Standard CL.TE or TE.CL payload
Harvesting Active Directory credentials via HTTP Request Smuggling,https://tij.me/blog/harvesting-active-directory-credentials-via-http-request-smuggling/,Tijme Gommers (@tijme),-,HTTP request smuggling,0,4/19/21,3/9/22,HTTP/2 Downgrade,Session Hijacking/Request Capture,Front-End Proxy (General),Case-Sensitivity,critical,Standard CL.TE or TE.CL payload
Gudifu: Guided Differential Fuzzing for HTTP Request Parsing Discrepancies,https://spaces-cdn.owlstown.com/blobs/exmixv7d3xutvlj6ksq80zkv4mot,"Bahruz Jabiyev (@BahruzJabiyev), Anthony Gavazzi, Kaan Onarlioglu, Engin Kirda","ATS, Nginx, HAProxy","Web cache poisoning, CPDoS, HTTP request smuggling, Access control bypass",0,7/25/24,8/6/24,CL.TE,Stored XSS,Front-End Proxy (General),Header Obfuscation (Newline),critical,Standard CL.TE or TE.CL payload
"ICMAD SAP Vulnerabilities (CVE-2022-22536, CVE-2022-22532 & CVE-2022-22533)",https://onapsis.com/threat-report/icmad-sap-vulnerabilities,"SAP Product Security Response team, Onapsis Research Labs",SAP,"HTTP request smuggling, Memory leak, DoS, Memory corruption",0,2/8/22,9/15/22,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),Case-Sensitivity,critical,Standard CL.TE or TE.CL payload
"Get paid by smuggling, the legal way",https://medium.com/bugbountywriteup/get-paid-by-smuggling-the-legal-way-c31805de3c59,James Ling (@James_puppykok),-,HTTP request smuggling,0,1/25/21,9/15/22,CL.TE,Stored XSS,Front-End Proxy (General),Header Obfuscation (Newline),critical,Standard CL.TE or TE.CL payload
Smuggling an (Un)exploitable XSS,https://www.rcesecurity.com/2020/11/Smuggling-an-un-exploitable-xss/,Julien Ahrens (@MrTuxracer),-,"HTTP request smuggling, XSS",0,11/13/20,9/15/22,CL.TE,Stored XSS,Front-End Proxy (General),None,critical,Standard CL.TE or TE.CL payload
IBM Datapower Exploit CVE-2020-5014,https://tomcope.com/exploit/2020/10/21/ibm-datapower-exploit-cve-2020-5014.html,Thomas Cope,IBM,"SSRF, HTTP request smuggling",0,10/21/20,3/2/23,CL.TE,Internal SSRF,Front-End Proxy (General),Case-Sensitivity,critical,Standard CL.TE or TE.CL payload
Escalating reflected XSS with HTTP Smuggling,https://web.archive.org/web/20200825001615/https://hazana.xyz/posts/escalating-reflected-xss-with-http-smuggling/,Hazana (@HazanaSec),-,"Reflected XSS, HTTP request smuggling",0,1/27/20,9/15/22,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),None,critical,Standard CL.TE or TE.CL payload
Account takeover via HTTP Request Smuggling,https://hipotermia.pw/bb/http-desync-account-takeover,hipotermia (@_hipotermia_),-,"HTTP request smuggling, Account takeover, Open redirect, Internal header disclosure",0,1/3/20,9/15/22,TE.CL,Bypass Security Controls/WAF,Front-End Proxy (General),Header Obfuscation (Newline),critical,Standard CL.TE or TE.CL payload
HTTP Request Smuggling + IDOR,https://hipotermia.pw/bb/http-desync-idor,hipotermia (@_hipotermia_),-,"HTTP request smuggling, IDOR",0,12/5/19,9/15/22,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),None,critical,Standard CL.TE or TE.CL payload
HTTP Request Smuggling CL.TE,https://memn0ps.github.io/http-request-smuggling-cl-te/,memN0ps (@memN0ps),-,HTTP request smuggling,0,9/13/19,9/15/22,CL.TE,Cache Poisoning/Deception,Front-End Proxy (General),Case-Sensitivity,critical,Standard CL.TE or TE.CL payload
Exploiting HTTP Request Smuggling (TE.CL)— XSS to website takeover,https://kleiton0x00.github.io/posts/Exploiting-HTTP-Request-Smuggling-(TE.CL)-XSS-to-website-takeover/,Kleiton Kurti (@kleiton0x7e),-,"HTTP request smuggling, XSS",0,3/9/21,9/15/22,TE.CL,Bypass Security Controls/WAF,Front-End Proxy (General),Header Obfuscation (Newline),high,Standard CL.TE or TE.CL payload
Advanced Inter-Process Desynchronization in SAP’s HTTP Server,https://i.blackhat.com/USA-22/Wednesday/US-22-Doyhenard-Internal-Server-Error-wp.pdf,Martin Doyhenard (@tincho_508),SAP,"Memory corruption, RCE, HTTP request smuggling, Web cache poisoning, Desync attack",0,8/10/22,9/15/22,CL.TE,Stored XSS,Front-End Proxy (General),Header Obfuscation (Newline),high,Standard CL.TE or TE.CL payload
HDiff: A Semi-automatic Framework for Discovering Semantic Gap Attack in HTTP Implementations,https://shenkaiwen.com/publication/2022-hdiff/,"Kaiwen Shen (@m0xiaoxi), Jianyu Lu, Yaru Yang, Jianjun Chen, Mingming Zhang, Haixin Duan, Jia Zhang, Xiaofeng Zheng",-,"HTTP request smuggling, DoS, Semantic gap attacks",0,3/1/22,9/15/22,CL.TE,Account Takeover,Apache,None,critical,Standard CL.TE or TE.CL payload
Abusing Client-Side Desync on Werkzeug,https://mizu.re/post/abusing-client-side-desync-on-werkzeug,Mizu (@kevin_mizu),Werzeug,"Client-Side Desync attack, HTTP request smuggling, Account takeover, Open redirect, XSS",0,6/7/23,6/12/23,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),Header Obfuscation (Newline),critical,Standard CL.TE or TE.CL payload
Making desync attacks easy with TRACE,https://portswigger.net/research/trace-desync-attack,Martin Doyhenard (@tincho_508),-,"Desync attack, HTTP request smuggling, Web cache poisoning",0,3/19/24,5/8/24,HTTP/2 Downgrade,Cache Poisoning/Deception,Front-End Proxy (General),Header Obfuscation (Newline),critical,"to demonstrate impact. But after looking at the application for a few hours I started worrying, as there was no endpoint I could use to create my payload. There were no other vulnerabilities to leverage with request smuggling, nor reflected parameters that could be used with response smuggling, and even worse, the connections between the frontend and backend appeared to be isolated from each othe"
HTTP is dead... Long live HTTP?!,https://blog.malicious.group/http-is-dead-long-live-http/,d3d (@deadvolvo),"Akamai, F5","HTTP request smuggling, Web cache poisoning",0,11/14/23,1/10/24,CL.TE,Cache Poisoning/Deception,Akamai,Header Obfuscation (Newline),critical,Standard CL.TE or TE.CL payload
From Akamai to F5 to NTLM... with love.,https://blog.malicious.group/from-akamai-to-f5-to-ntlm/,d3d (@deadvolvo),"Akamai, F5","HTTP request smuggling, Web cache poisoning",0,10/26/23,1/10/24,CL.TE,Cache Poisoning/Deception,Front-End Proxy (General),Header Obfuscation (Newline),critical,Standard CL.TE or TE.CL payload
Refresh: Compromising F5 BIG-IP With Request Smuggling | CVE-2023-46747,https://www.praetorian.com/blog/refresh-compromising-f5-big-ip-with-request-smuggling-cve-2023-46747/,"Michael Weber (@BouncyHat), Thomas Hendrickson",F5,"HTTP request smuggling, Authentication bypass, RCE, Apache JServ Protocol (AJP)",0,10/26/23,12/26/23,unknown,unknown,unknown,unknown,unknown,could not extract
DoubleQlik: Bypassing the Fix for CVE-2023-41265 to Achieve Unauthenticated Remote Code Execution,https://www.praetorian.com/blog/doubleqlik-bypassing-the-original-fix-for-cve-2023-41265/,Adam Crosser,Qlik,"RCE, Path traversal, HTTP request tunneling, HTTP request smuggling, Security code review",0,9/22/23,10/3/23,unknown,unknown,unknown,unknown,unknown,could not extract
ZeroQlik: Achieving Unauthenticated Remote Code Execution via HTTP Request Tunneling and Path Traversal,https://www.praetorian.com/blog/qlik-sense-technical-exploit/,Adam Crosser,Qlik,"RCE, Path traversal, HTTP request tunneling, HTTP request smuggling, Security code review",0,8/31/23,9/5/23,unknown,unknown,unknown,unknown,unknown,could not extract
CVE 2023 25690 - Proof of Concept,https://github.com/dhmosfunk/CVE-2023-25690-POC,dhmosfunk (@DSkfunk),Apache HTTP Server,"HTTP request smuggling, HTTP request splitting, CRLF injection",0,5/22/23,6/1/23,CL.TE,Cache Poisoning/Deception,Front-End Proxy (General),Header Obfuscation (Newline),critical,- mod_proxy vulnerable configuration on Apache HTTP Server versions 2.4.0 - 2.4.55 leads to HTTP Request Smuggling vulnerability.
Browser-Powered Desync Attacks: A New Frontier in HTTP Request Smuggling,https://portswigger.net/research/browser-powered-desync-attacks,James Kettle (@albinowax),"AWS, Amazon, Akamai, Cisco, Verisign, Pulse Secure, Varnish","HTTP request smuggling, Desync attack",0,8/10/22,9/15/22,CL.TE,Cache Poisoning/Deception,Front-End Proxy (General),Header Obfuscation (Newline),critical,"POST /pwreset HTTP/1.1Host: psres.netHTTP/1.1 421 Misdirected Request...Yet by starting our request sequence with a valid request to the target site, we can successfully hit the back-end:GET / HTTP/1.1Host: example.com POST /pwreset HTTP/1.1Host: psres.netHTTP/1.1 200 OK...HTTP/1.1 302 FoundLocation: /loginHopefully triggering an email to our victim with a poisoned reset link:Click here to reset y"
http: properly reject empty http header field names,https://github.com/haproxy/haproxy/commit/a8598a2eb11b6c989e81f0dbf10be361782e8d32,"Bahruz Jabiyev (@BahruzJabiyev), Anthony Gavazzi, Engin Kirda, Kaan Onarlioglu, Adi Peleg, Harvey Tuch",HAProxy,"HTTP header attack, HTTP request smuggling, Access control bypass",0,2/14/23,2/26/23,HTTP/2 Downgrade,Bypass Security Controls/WAF,Front-End Proxy (General),Header Obfuscation (Newline),critical,Standard CL.TE or TE.CL payload
The easiest way I used to bypass an admin panel,https://medium.com/@siratsami71/the-easiest-way-i-used-to-bypass-an-admin-panel-93d4297ed4a6,Sirat Sami (@siratsami71),-,"HTTP request smuggling, Account takeover",0,1/19/23,1/23/23,HTTP/2 Downgrade,Bypass Security Controls/WAF,Front-End Proxy (General),None,critical,Standard CL.TE or TE.CL payload
My First Critical Bug In HackerOne Platform,https://web.archive.org/web/20221017025828/https://medium.com/@EX_097/my-first-critical-bug-in-hackerone-platform-2ce9adcb39a6,EX_097,-,HTTP request smuggling,0,10/16/22,10/17/22,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),None,critical,Standard CL.TE or TE.CL payload
CVE-2022-35256 - HTTP Request Smuggling in NodeJS,https://www.preludesecurity.com/blog/cve-2022-35256-http-request-smuggling-in-nodejs,VVX7 (@VV_X_7),Node.js,HTTP request smuggling,0,9/23/22,9/26/22,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),Header Obfuscation (Newline),low,Standard CL.TE or TE.CL payload
How to turn security research into profit: a CL.0 case study,https://portswigger.net/research/how-to-turn-security-research-into-profit,James Kettle (@albinowax),-,"HTTP request smuggling, Desync attack",0,9/8/22,9/15/22,HTTP/2 Downgrade,Stored XSS,Front-End Proxy (General),Header Obfuscation (Newline),critical,Standard CL.TE or TE.CL payload
FRAMESHIFTER: Security Implications of HTTP/2-to-HTTP/1 Conversion Anomalies,https://bahruz.me/publications/11844,"Bahruz Jabiyev (@BahruzJabiyev), Steven Sprecher (@StevenSprecher), Anthony Gavazzi, Tommaso Innocenti (@innotommy), Kaan Onarlioglu, Engin Kirda",-,"HTTP request smuggling, DoS",0,8/11/22,9/15/22,HTTP/2 Downgrade,Account Takeover,Front-End Proxy (General),None,high,Standard CL.TE or TE.CL payload
Write up of two HTTP Requests Smuggling,https://medium.com/@cc1h2e1/write-up-of-two-http-requests-smuggling-ff211656fe7d,C1h2e1 (@C1h2e11),-,HTTP request smuggling,0,9/7/19,9/15/22,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),None,high,Standard CL.TE or TE.CL payload
